Index;Lat;Long;Price;Address;Bedroom;Bathroom;TotalRoom;PriceFor2Room;Shortpostcode
339;43.654155;-79.385211;550.0;89 Chestnut St;1;1.0;2.0;550.000000;M5G
340;43.654842;-79.379202;3099.0;220 Victoria St;2;2.0;4.0;1549.500000;M5B
341;43.665588;-79.383028;3700.0;28 Wellesley St E;2;2.0;4.0;1850.000000;M4Y
342;43.640816;-79.381752;1500.0;;2;1.0;3.0;1000.000000;M5J
343;43.655192;-79.353912;2999.0;170 Bayview Ave;2;2.0;4.0;1499.500000;M5A
344;43.639934;-79.416445;2100.0;125 Western Battey st;1;1.0;2.0;2100.000000;M6K
345;43.705123;-79.530091;2050.0;2304 Weston Road;3;1.5;4.5;911.111111;M9N
346;43.705123;-79.530091;1525.0;2304 Weston Road;1;1.0;2.0;1525.000000;M9N
347;43.705123;-79.530091;1799.0;2304 Weston Road;2;1.0;3.0;1199.333333;M9N
350;43.640068;-79.399960;2400.0;70 Queens Wharf Rd 33rd Floor;1;1.0;2.0;2400.000000;M5V
351;43.664844;-79.385930;2500.0;24 Wellesley St W;1;1.0;2.0;2500.000000;M4Y
352;43.645641;-79.392953;1900.0;375 King St W;2;1.0;3.0;1266.666667;M5V
353;43.641087;-79.381405;2200.0;10 York Street;1;1.0;2.0;2200.000000;M5J
355;43.669550;-79.383776;2000.0;50 Charles St E;1;1.0;2.0;2000.000000;M4Y
357;43.655069;-79.387470;1200.0;;1;1.0;2.0;1200.000000;M5G
363;43.655988;-79.358877;3200.0;52 Sumach St;1;1.0;2.0;3200.000000;M5A
364;43.641873;-79.381906;2400.0;12 York St;1;1.0;2.0;2400.000000;M5J
366;43.652757;-79.366511;2480.0;460 Adelaide St E;1;1.0;2.0;2480.000000;M5A
367;43.645809;-79.375682;3000.0;1 The Esplanade;1;1.0;2.0;3000.000000;M5E
368;43.644864;-79.399060;2250.0;560 King St W;1;1.0;2.0;2250.000000;M5V
372;43.645809;-79.375682;3400.0;1 The Esplanade;2;2.0;4.0;1700.000000;M5E
374;43.669451;-79.387470;2550.0;The Uptown Residences;1;1.0;2.0;2550.000000;M4W
377;43.638521;-79.399464;2300.0;70 Queens Wharf Rd;1;1.0;2.0;2300.000000;M5V
378;43.660846;-79.378756;2250.0;365 Church St;1;1.0;2.0;2250.000000;M5B
379;43.648573;-79.376275;1900.0;88 Scott St;1;1.0;2.0;1900.000000;M5E
382;43.653075;-79.370179;2000.0;255 Richmond St E;1;1.0;2.0;2000.000000;M5A
383;43.673994;-79.441685;1650.0;1512 Dufferin Street;1;1.0;2.0;1650.000000;M6H
384;43.641569;-79.424603;2889.0;170 Sudbury St;2;1.0;3.0;1926.000000;M6J
385;43.660605;-79.378635;2800.0;89 McGill St;2;2.0;4.0;1400.000000;M5B
390;43.640068;-79.399960;2400.0;70 Queens Wharf Rd;1;1.0;2.0;2400.000000;M5V
391;43.660605;-79.378635;2000.0;89 McGill St;1;1.0;2.0;2000.000000;M5B
392;43.659329;-79.382675;2350.0;386 Yonge St;1;1.0;2.0;2350.000000;M5B
394;43.641087;-79.381405;2900.0;10 York Street;2;2.0;4.0;1450.000000;M5J
395;43.665233;-79.384293;3300.0;8 Wellesley St E;2;2.0;4.0;1650.000000;M4Y
399;43.653978;-79.354134;1900.0;120 Bayview Ave.;1;1.0;2.0;1900.000000;M5A
400;43.638700;-79.412183;2200.0;51 E Liberty St;1;1.0;2.0;2200.000000;M6K
402;43.646764;-79.392221;3200.0;;3;2.0;5.0;1280.000000;M5V
403;43.644174;-79.389421;2500.0;300 Front St W;1;1.0;2.0;2500.000000;M5V
404;43.607057;-79.494907;1200.0;k ;1;1.5;2.5;960.000000;M8V
405;43.645271;-79.376395;2600.0;;1;1.0;2.0;2600.000000;M5E
406;43.669593;-79.380580;3575.0;101 Charles St E;2;2.0;4.0;1787.500000;M4Y
407;43.638317;-79.397795;3200.0;75 Queens Wharf Rd;2;1.0;3.0;2133.333333;M5V
409;43.660605;-79.378635;1850.0;89 McGill St;1;1.0;2.0;1850.000000;M5B
412;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
413;43.666096;-79.387322;2400.0;44 St Joseph Street;1;1.0;2.0;2400.000000;M5S
414;43.652487;-79.389622;1800.0;80 St Patrick St;1;1.0;2.0;1800.000000;M5T
418;43.641109;-79.419448;3450.0;19 Sudbury St;3;1.5;4.5;1533.333333;M6K
419;43.643051;-79.391643;2150.0;361 Front St W;1;1.0;2.0;2150.000000;M5V
421;43.651958;-79.368855;2550.0;333 Adelaide St E;2;1.0;3.0;1700.000000;M5A
422;43.636759;-79.397850;1900.0;600 Queens Quay W;1;1.0;2.0;1900.000000;M5V
423;43.621602;-79.482868;2450.0;;1;1.0;2.0;2450.000000;M8V
425;43.640058;-79.379201;2800.0;;1;1.0;2.0;2800.000000;M5J
427;43.658981;-79.362919;2099.0;200 Sackville St;1;1.0;2.0;2099.000000;M5A
428;43.652576;-79.367066;2350.0;424 Adelaide St E;1;1.0;2.0;2350.000000;M5A
429;43.688897;-79.411984;1617.0;320 Lonsdale Road;1;1.0;2.0;1617.000000;M5P
430;43.654758;-79.400827;1750.0;80 Kensington Ave;1;1.0;2.0;1750.000000;M5T
431;43.660111;-79.385887;2950.0;;2;2.0;4.0;1475.000000;M5B
432;43.761461;-79.409802;3000.0;5 Sheppard Ave E;2;2.0;4.0;1500.000000;M2N
433;43.649381;-79.374532;2200.0;60 Colborne St;1;1.0;2.0;2200.000000;M5E
435;43.655192;-79.353912;2200.0;170 Bayview Ave;1;1.0;2.0;2200.000000;M5A
436;43.652757;-79.366511;2450.0;460 Adelaide St E;1;1.0;2.0;2450.000000;M5A
437;43.659679;-79.429291;1857.0;730 Dovercourt Road;1;1.0;2.0;1857.000000;M6H
438;43.659679;-79.429291;1757.0;730 Dovercourt Road;1;1.0;2.0;1757.000000;M6H
439;43.659679;-79.429291;1597.0;730 Dovercourt Road;1;1.0;2.0;1597.000000;M6H
440;43.748641;-79.437139;1817.0;4190 Bathurst Street;1;1.0;2.0;1817.000000;M3H
441;43.771617;-79.443261;1717.0;4866 Bathurst Street;1;1.0;2.0;1717.000000;M2R
442;43.771617;-79.443261;2017.0;4866 Bathurst Street;2;1.0;3.0;1344.666667;M2R
443;43.748641;-79.437139;2177.0;4190 Bathurst Street;2;1.0;3.0;1451.333333;M3H
444;43.659947;-79.430820;1857.0;357 Rusholme Road;1;1.0;2.0;1857.000000;M6H
445;43.658996;-79.429693;1757.0;323 Rusholme Road;1;1.0;2.0;1757.000000;M6H
446;43.658996;-79.429693;1717.0;323 Rusholme Road;1;1.0;2.0;1717.000000;M6H
